cases,deaths,dateRep,cases_per_100k,deaths_per_1m
155033.0,1398.0,2020-10-28,232.61773143298393,20.97615272511733
153046.0,1517.0,2020-10-29,229.63635693621654,22.761676454937763
154873.0,1608.0,2020-10-30,232.37766101552907,24.12707695421221
158747.0,1658.0,2020-10-31,238.1903659981546,24.87729700875861
157650.0,1810.0,2020-11-01,236.54438319847978,27.157965974579664
161114.0,1821.0,2020-11-02,241.74190773637724,27.32301438657987
159174.0,1855.0,2020-11-03,238.8310539247372,27.833164023671422
156307.0,1885.0,2020-11-04,234.52929213196816,28.283296056399262
156784.0,2067.0,2020-11-05,235.2450020640054,31.014097054948156
157857.0,2165.0,2020-11-06,236.854974301062,32.4845283618591
156739.0,2246.0,2020-11-07,235.17748225909625,33.699884850224265
159781.0,2333.0,2020-11-08,239.74182107095655,35.005267745135
157099.0,2327.0,2020-11-09,235.71764069836965,34.91524133858943
159499.0,2385.0,2020-11-10,239.31869696019237,35.78549660186326
159893.0,2520.0,2020-11-11,239.90987036317492,37.811090749138536
157666.0,2623.0,2020-11-12,236.56839024022526,39.35654406150412
166998.0,2808.0,2020-11-13,250.57049733827927,42.1323582633258
171012.0,2829.0,2020-11-14,256.5932639361778,42.447450686235285
172915.0,2878.0,2020-11-15,259.44860146378136,43.182666339690755
177305.0,2890.0,2020-11-16,266.0355335426988,43.36271915278189
177318.0,2909.0,2020-11-17,266.05503926411694,43.647802773509525
176957.0,2975.0,2020-11-18,265.51338038473443,44.638093245510774
173616.0,2909.0,2020-11-19,260.5004099802554,43.647802773509525
163061.0,2847.0,2020-11-20,244.66326462878092,42.71752990587199
156012.0,2982.0,2020-11-21,234.0866622997858,44.74312405314727
149027.0,2860.0,2020-11-22,223.60608813777256,42.912587120054056
142727.0,2817.0,2020-11-23,214.15331545048792,42.26739787314415
136814.0,3083.0,2020-11-24,205.28121308542222,46.258568563330996
128062.0,3093.0,2020-11-25,192.14936125064204,46.40861257424027
126666.0,3259.0,2020-11-26,190.0547468583485,48.89934315533432
121306.0,3256.0,2020-11-27,182.0123878736111,48.85432995206154
115793.0,3265.0,2020-11-28,173.7404615521825,48.98936956187989
111789.0,3404.0,2020-11-29,167.7326993553749,51.07498131351888
105282.0,3494.0,2020-11-30,157.96933556550806,52.4253774117024
102162.0,3218.0,2020-12-01,153.28796242513855,48.284162710606275
104292.0,3213.0,2020-12-02,156.4838998575062,48.20914070515163
102249.0,3166.0,2020-12-03,153.4185007146296,47.50393385387802
99572.0,3082.0,2020-12-04,149.40182254258818,46.24356416224007
101131.0,3066.0,2020-12-05,151.74100867266387,46.00349374478522
100799.0,2984.0,2020-12-06,151.24286255644506,44.77313285532912
105915.0,3000.0,2020-12-07,158.91911415456383,45.013203272783976
108303.0,2986.0,2020-12-08,162.50216513507743,44.803141657510984
107155.0,2982.0,2020-12-09,160.77965988983888,44.74312405314727
107563.0,2867.0,2020-12-10,161.39183945434874,43.01761792769055
113649.0,2969.0,2020-12-11,170.52351795828753,44.548066838965205
119023.0,2889.0,2020-12-12,178.58688310455221,43.347714751690965
124985.0,3012.0,2020-12-13,187.5325070349635,45.193256085875106
126161.0,2925.0,2020-12-14,189.29702460325663,43.88787319096437
